Year,Gebietseinheit,sex,AGS,GeoCode,Value
1978,Niedersachsen,,0,K00,249522.0
1978,Niedersachsen,maennlich,0,K00,144601.0
1978,Niedersachsen,weiblich,0,K00,104921.0
1979,Niedersachsen,,0,K00,261331.0
1979,Niedersachsen,maennlich,0,K00,151724.0
1979,Niedersachsen,weiblich,0,K00,109607.0
1980,Niedersachsen,,0,K00,284678.0
1980,Niedersachsen,maennlich,0,K00,166862.0
1980,Niedersachsen,weiblich,0,K00,117816.0
1981,Niedersachsen,,0,K00,299147.0
1981,Niedersachsen,maennlich,0,K00,174979.0
1981,Niedersachsen,weiblich,0,K00,124168.0
1982,Niedersachsen,,0,K00,300584.0
1982,Niedersachsen,maennlich,0,K00,174318.0
1982,Niedersachsen,weiblich,0,K00,126266.0
1983,Niedersachsen,,0,K00,290651.0
1983,Niedersachsen,maennlich,0,K00,167024.0
1983,Niedersachsen,weiblich,0,K00,123627.0
1984,Niedersachsen,,0,K00,273716.0
1984,Niedersachsen,maennlich,0,K00,156671.0
1984,Niedersachsen,weiblich,0,K00,117045.0
1985,Niedersachsen,,0,K00,274916.0
1985,Niedersachsen,maennlich,0,K00,157864.0
1985,Niedersachsen,weiblich,0,K00,117052.0
1986,Niedersachsen,,0,K00,286694.0
1986,Niedersachsen,maennlich,0,K00,164538.0
1986,Niedersachsen,weiblich,0,K00,122156.0
1987,Niedersachsen,,0,K00,289469.0
1987,Niedersachsen,maennlich,0,K00,164407.0
1987,Niedersachsen,weiblich,0,K00,125062.0
1990,Niedersachsen,,0,K00,338826.0
1990,Niedersachsen,maennlich,0,K00,189962.0
1990,Niedersachsen,weiblich,0,K00,148864.0
1991,Niedersachsen,,0,K00,368361.0
1991,Niedersachsen,maennlich,0,K00,207744.0
1991,Niedersachsen,weiblich,0,K00,160617.0
1992,Niedersachsen,,0,K00,425801.0
1992,Niedersachsen,maennlich,0,K00,242210.0
1992,Niedersachsen,weiblich,0,K00,183591.0
1993,Niedersachsen,,0,K00,445832.0
1993,Niedersachsen,maennlich,0,K00,250899.0
