Year,AGS,Gebietseinheit,Insgesamt,Männlich,Weiblich,Value
2018,0,Niedersachsen,813080,444740,368340,813080
2018,1,Braunschweig,158175,85145,73030,158180
2018,101,Braunschweig_Stadt,29730,15925,13805,29730
2018,102,Salzgitter_Stadt,19850,10805,9045,19850
2018,103,Wolfsburg_Stadt,19325,10555,8770,19325
2018,151,Gifhorn,11810,6355,5455,11810
2018,153,Goslar,13450,7615,5835,13455
2018,154,Helmstedt,6485,3655,2830,6485
2018,155,Northeim,8810,4635,4175,8805
2018,157,Peine,11035,5935,5100,11035
2018,158,Wolfenbüttel,7515,4095,3420,7515
2018,159,Göttingen,30170,15570,14600,30170
2018,159016,Göttingen_Stadt,17265,8830,8435,17265
2018,2,Hannover,268505,143420,125085,268505
2018,241,Hannover_Region,181570,96690,84880,181570
2018,241001,Hannover_Landeshauptstadt,111250,59325,51925,111255
2018,251,Diepholz,17570,9285,8285,17565
2018,252,Hameln-Pyrmont,16530,8700,7830,16535
2018,254,Hildesheim,24090,13035,11055,24090
2018,254021,Hildesheim_Stadt,14425,7555,6870,14425
2018,255,Holzminden,4335,2340,1995,4330
2018,256,Nienburg (Weser),10430,5825,4605,10430
2018,257,Schaumburg,13985,7545,6440,13985
2018,3,Lüneburg,126195,69920,56275,126195
2018,351,Celle,14135,7620,6515,14130
2018,352,Cuxhaven,13335,7235,6100,13335
2018,353,Harburg,18935,10945,7990,18930
2018,354,Lüchow-Dannenberg,2665,1435,1230,2665
2018,355,Lüneburg,12755,7010,5745,12760
2018,356,Osterholz,6560,3395,3165,6560
2018,357,Rotenburg (Wümme),11145,6270,4875,11145
2018,358,Heidekreis,11545,6385,5160,11545
2018,359,Stade,18555,10605,7950,18555
2018,360,Uelzen,5605,3000,2605,5605
2018,361,Verden,10975,6030,4945,10975
2018,4,Weser-Ems,260205,146255,113950,260205
2018,401,Delmenhorst_Stadt,12970,6905,6065,12970
2018,402,Emden_Stadt,5525,3295,2230,5530
2018,403,Oldenburg(Oldb)_Stadt,17370,9190,8180,17365
2018,404,Osnabrück_Stadt,24475,13315,11160,24470
2018,405,Wilhelmshaven_Stadt,8410,4795,3615,8410
2018,451,Ammerland,8080,4420,3660,8075
2018,452,Aurich,11515,6520,4995,11515
2018,453,Cloppenburg,18920,11045,7875,18915
2018,454,Emsland,38830,23650,15180,38825
2018,455,Friesland,4830,2580,2250,4830
2018,456,Grafschaft Bentheim,21545,11820,9725,21550
2018,457,Leer,13605,7785,5820,13610
2018,458,Oldenburg,11600,6485,5115,11595
2018,459,Osnabrück,32625,17925,14700,32625
2018,460,Vechta,19790,10915,8875,19790
2018,461,Wesermarsch,7450,4195,3255,7455
2018,462,Wittmund,2670,1420,1250,2675
