Year,AGS,Gebietseinheit,sex,Value
2018,0,Niedersachsen,total,813080
2018,0,Niedersachsen,female,444740
2018,0,Niedersachsen,male,368340
2018,1,Braunschweig,total,158180
2018,1,Braunschweig,female,85145
2018,1,Braunschweig,male,73030
2018,101,Braunschweig-Stadt,total,29730
2018,101,Braunschweig-Stadt,female,15925
2018,101,Braunschweig-Stadt,male,13805
2018,102,Salzgitter-Stadt,total,19850
2018,102,Salzgitter-Stadt,female,10805
2018,102,Salzgitter-Stadt,male,9045
2018,103,Wolfsburg-Stadt,total,19325
2018,103,Wolfsburg-Stadt,female,10555
2018,103,Wolfsburg-Stadt,male,8770
2018,151,Gifhorn,total,11810
2018,151,Gifhorn,female,6355
2018,151,Gifhorn,male,5455
2018,153,Goslar,total,13455
2018,153,Goslar,female,7615
2018,153,Goslar,male,5835
2018,154,Helmstedt,total,6485
2018,154,Helmstedt,female,3655
2018,154,Helmstedt,male,2830
2018,155,Northeim,total,8805
2018,155,Northeim,female,4635
2018,155,Northeim,male,4175
2018,157,Peine,total,11035
2018,157,Peine,female,5935
2018,157,Peine,male,5100
2018,158,Wolfenbüttel,total,7515
2018,158,Wolfenbüttel,female,4095
2018,158,Wolfenbüttel,male,3420
2018,159,Göttingen,total,30170
2018,159,Göttingen,female,15570
2018,159,Göttingen,male,14600
2018,159016,Göttingen-Stadt,total,17265
2018,159016,Göttingen-Stadt,female,8830
2018,159016,Göttingen-Stadt,male,8435
2018,2,Hannover,total,268505
2018,2,Hannover,female,143420
2018,2,Hannover,male,125085
