Year,Gebietseinheit,Geschlecht,GeoCode,Value
2018,Niedersachsen,,K030,813080
2018,Niedersachsen,männlich,K030,444740
2018,Niedersachsen,weiblich,K030,368340
2018,Braunschweig,,K031,158180
2018,Braunschweig,männlich,K031,85145
2018,Braunschweig,weiblich,K031,73030
2018,Braunschweig-Stadt,,K03101,29730
2018,Braunschweig-Stadt,männlich,K03101,15925
2018,Braunschweig-Stadt,weiblich,K03101,13805
2018,Salzgitter-Stadt,,K03102,19850
2018,Salzgitter-Stadt,männlich,K03102,10805
2018,Salzgitter-Stadt,weiblich,K03102,9045
2018,Wolfsburg-Stadt,,K03103,19325
2018,Wolfsburg-Stadt,männlich,K03103,10555
2018,Wolfsburg-Stadt,weiblich,K03103,8770
2018,Gifhorn,,K03151,11810
2018,Gifhorn,männlich,K03151,6355
2018,Gifhorn,weiblich,K03151,5455
2018,Goslar,,K03153,13455
2018,Goslar,männlich,K03153,7615
2018,Goslar,weiblich,K03153,5835
2018,Helmstedt,,K03154,6485
2018,Helmstedt,männlich,K03154,3655
2018,Helmstedt,weiblich,K03154,2830
2018,Northeim,,K03155,8805
2018,Northeim,männlich,K03155,4635
2018,Northeim,weiblich,K03155,4175
2018,Peine,,K03157,11035
2018,Peine,männlich,K03157,5935
2018,Peine,weiblich,K03157,5100
2018,Wolfenbüttel,,K03158,7515
2018,Wolfenbüttel,männlich,K03158,4095
2018,Wolfenbüttel,weiblich,K03158,3420
2018,Göttingen,,K03159,30170
2018,Göttingen,männlich,K03159,15570
2018,Göttingen,weiblich,K03159,14600
2018,Göttingen-Stadt,,K03159016,17265
2018,Göttingen-Stadt,männlich,K03159016,8830
2018,Göttingen-Stadt,weiblich,K03159016,8435
2018,Hannover,,K032,268505
2018,Hannover,männlich,K032,143420
2018,Hannover,weiblich,K032,125085
2018,Hannover-Region,,K03241,181570
2018,Hannover-Region,männlich,K03241,96690
2018,Hannover-Region,weiblich,K03241,84880
2018,Hannover-Landeshauptstadt,,K03241001,111255
2018,Hannover-Landeshauptstadt,männlich,K03241001,59325
2018,Hannover-Landeshauptstadt,weiblich,K03241001,51925
2018,Diepholz,,K03251,17565
2018,Diepholz,männlich,K03251,9285
2018,Diepholz,weiblich,K03251,8285
2018,Hameln-Pyrmont,,K03252,16535
2018,Hameln-Pyrmont,männlich,K03252,8700
2018,Hameln-Pyrmont,weiblich,K03252,7830
2018,Hildesheim,,03254,24090
2018,Hildesheim,männlich,K03254,13035
2018,Hildesheim,weiblich,K03254,11055
2018,Hildesheim-Stadt,,K03254021,14425
2018,Hildesheim-Stadt,männlich,K03254021,7555
2018,Hildesheim-Stadt,weiblich,K03254021,6870
2018,Holzminden,,K03255,4330
2018,Holzminden,männlich,K03255,2340
2018,Holzminden,weiblich,K03255,1995
2018,Nienburg (Weser),,K03256,10430
2018,Nienburg (Weser),männlich,K03256,5825
2018,Nienburg (Weser),weiblich,K03256,4605
2018,Schaumburg,,K03257,13985
2018,Schaumburg,männlich,K03257,7545
2018,Schaumburg,weiblich,K03257,6440
2018,Lüneburg,,K033,126195
2018,Lüneburg,männlich,K033,69920
2018,Lüneburg,weiblich,K033,56275
2018,Celle,,K03351,14130
2018,Celle,männlich,K03351,7620
2018,Celle,weiblich,K03351,6515
2018,Cuxhaven,,K03352,13335
2018,Cuxhaven,männlich,K03352,7235
2018,Cuxhaven,weiblich,K03352,6100
2018,Harburg,,K03353,18930
2018,Harburg,männlich,K03353,10945
2018,Harburg,weiblich,K03353,7990
2018,Lüchow-Dannenberg,,K03354,2665
2018,Lüchow-Dannenberg,männlich,K03354,1435
2018,Lüchow-Dannenberg,weiblich,K03354,1230
2018,Lüneburg,,K033,126195
2018,Lüneburg,männlich,K033,69920
2018,Lüneburg,weiblich,K033,56275
2018,Osterholz,,K03356,6560
2018,Osterholz,männlich,K03356,3395
2018,Osterholz,weiblich,K03356,3165
2018,Rotenburg (Wümme),,K03357,11145
2018,Rotenburg (Wümme),männlich,K03357,6270
2018,Rotenburg (Wümme),weiblich,K03357,4875
2018,Heidekreis,,K03358,11545
2018,Heidekreis,männlich,K03358,6385
2018,Heidekreis,weiblich,K03358,5160
2018,Stade,,K03359,18555
2018,Stade,männlich,K03359,10605
2018,Stade,weiblich,K03359,7950
2018,Uelzen,,K03360,5605
2018,Uelzen,männlich,K03360,3000
2018,Uelzen,weiblich,K03360,2605
2018,Verden,,K03361,10975
2018,Verden,männlich,K03361,6030
2018,Verden,weiblich,K03361,4945
2018,Weser-Ems,,K034,260205
2018,Weser-Ems,männlich,K034,146255
2018,Weser-Ems,weiblich,K034,113950
2018,Delmenhorst-Stadt,,K03401,12970
2018,Delmenhorst-Stadt,männlich,K03401,6905
2018,Delmenhorst-Stadt,weiblich,K03401,6065
2018,Emden-Stadt,,K03402,5530
2018,Emden-Stadt,männlich,K03402,3295
2018,Emden-Stadt,weiblich,K03402,2230
2018,Oldenburg(Oldb)-Stadt,,K03403,17365
2018,Oldenburg(Oldb)-Stadt,männlich,K03403,9190
2018,Oldenburg(Oldb)-Stadt,weiblich,K03403,8180
2018,Osnabrück-Stadt,,K03404,24470
2018,Osnabrück-Stadt,männlich,K03404,13315
2018,Osnabrück-Stadt,weiblich,K03404,11160
2018,Wilhelmshaven-Stadt,,K03405,8410
2018,Wilhelmshaven-Stadt,männlich,K03405,4795
2018,Wilhelmshaven-Stadt,weiblich,K03405,3615
2018,Ammerland,,K03451,8075
2018,Ammerland,männlich,K03451,4420
2018,Ammerland,weiblich,K03451,3660
2018,Aurich,,K03452,11515
2018,Aurich,männlich,K03452,6520
2018,Aurich,weiblich,K03452,4995
2018,Cloppenburg,,K03453,18915
2018,Cloppenburg,männlich,K03453,11045
2018,Cloppenburg,weiblich,K03453,7875
2018,Emsland,,K03454,38825
2018,Emsland,männlich,K03454,23650
2018,Emsland,weiblich,K03454,15180
2018,Friesland,,K03455,4830
2018,Friesland,männlich,K03455,2580
2018,Friesland,weiblich,K03455,2250
2018,Grafschaft Bentheim,,K03456,21550
2018,Grafschaft Bentheim,männlich,K03456,11820
2018,Grafschaft Bentheim,weiblich,K03456,9725
2018,Leer,,K03457,13610
2018,Leer,männlich,K03457,7785
2018,Leer,weiblich,K03457,5820
2018,Oldenburg,,K03458,11595
2018,Oldenburg,männlich,K03458,6485
2018,Oldenburg,weiblich,K03458,5115
2018,Osnabrück,,K03459,32625
2018,Osnabrück,männlich,K03459,17925
2018,Osnabrück,weiblich,K03459,14700
2018,Vechta,,K03460,19790
2018,Vechta,männlich,K03460,10915
2018,Vechta,weiblich,K03460,8875
2018,Wesermarsch,,K03461,7455
2018,Wesermarsch,männlich,K03461,4195
2018,Wesermarsch,weiblich,K03461,3255
2018,Wittmund,,K03462,2675
2018,Wittmund,männlich,K03462,1420
2018,Wittmund,weiblich,K03462,1250
