Year,Gebietseinheit,Nutzfläche,Wohnungen,GeoCode,Value
2017,Niedersachsen,Nutzfläche des Gebäudes (100 qm),,,42388
2017,Braunschweig,Nutzfläche des Gebäudes (100 qm),,,8803
2017,Braunschweig-St,Nutzfläche des Gebäudes (100 qm),,K03101,1085
2017,Salzgitter-Stad,Nutzfläche des Gebäudes (100 qm),,K03102,266
2017,Wolfsburg-Stadt,Nutzfläche des Gebäudes (100 qm),,K03103,1303
2017,Gifhorn,Nutzfläche des Gebäudes (100 qm),,K0151,1288
2017,Goslar,Nutzfläche des Gebäudes (100 qm),,K03153,188
2017,Goslar-Stadt,Nutzfläche des Gebäudes (100 qm),,,44
2017,Goslar (oh. Gos,Nutzfläche des Gebäudes (100 qm),,,144
2017,Helmstedt,Nutzfläche des Gebäudes (100 qm),,K03154,197
2017,Northeim,Nutzfläche des Gebäudes (100 qm),,K03155,503
2017,Peine,Nutzfläche des Gebäudes (100 qm),,K03157,1302
2017,Peine-Stadt,Nutzfläche des Gebäudes (100 qm),,,1104
2017,Peine (oh. Pein,Nutzfläche des Gebäudes (100 qm),,,198
2017,Wolfenbüttel,Nutzfläche des Gebäudes (100 qm),,K03158,87
2017,Wolfenbüttel-St,Nutzfläche des Gebäudes (100 qm),,,39
2017,Wolfenbüttel (o,Nutzfläche des Gebäudes (100 qm),,,49
2017,Göttingen,Nutzfläche des Gebäudes (100 qm),,K03159,2585
2017,Göttingen-Stadt,Nutzfläche des Gebäudes (100 qm),,,1526
2017,Göttingen (oh.,Nutzfläche des Gebäudes (100 qm),,,1058
2017,Hannover,Nutzfläche des Gebäudes (100 qm),,,6894
2017,Hannover-Region,Nutzfläche des Gebäudes (100 qm),,K03241,4046
2017,Hannover-Landes,Nutzfläche des Gebäudes (100 qm),,,1018
2017,Garbsen-Stadt,Nutzfläche des Gebäudes (100 qm),,,436
2017,Langenhagen-Sta,Nutzfläche des Gebäudes (100 qm),,,869
2017,Hann.Reg.(oh.Ha,Nutzfläche des Gebäudes (100 qm),,,1723
2017,Diepholz,Nutzfläche des Gebäudes (100 qm),,K03251,744
2017,Hameln-Pyrmont,Nutzfläche des Gebäudes (100 qm),,K03252,168
2017,Hameln-Stadt,Nutzfläche des Gebäudes (100 qm),,,133
2017,Hameln-Pyrmont,Nutzfläche des Gebäudes (100 qm),,,35
2017,Hildesheim,Nutzfläche des Gebäudes (100 qm),,K03254,942
2017,Hildesheim-Stad,Nutzfläche des Gebäudes (100 qm),,,508
2017,Hildesheim(oh.H,Nutzfläche des Gebäudes (100 qm),,,434
2017,Holzminden,Nutzfläche des Gebäudes (100 qm),,K03255,184
2017,Nienburg (Weser,Nutzfläche des Gebäudes (100 qm),,K03256,383
2017,Schaumburg,Nutzfläche des Gebäudes (100 qm),,K03257,426
2017,Lüneburg,Nutzfläche des Gebäudes (100 qm),,,8421
2017,Celle,Nutzfläche des Gebäudes (100 qm),,K03351,325
2017,Celle-Stadt,Nutzfläche des Gebäudes (100 qm),,,146
2017,Celle (oh.Celle,Nutzfläche des Gebäudes (100 qm),,,178
2017,Cuxhaven,Nutzfläche des Gebäudes (100 qm),,K03352,974
2017,Cuxhaven-Stadt,Nutzfläche des Gebäudes (100 qm),,,170
2017,Cuxhaven (oh. C,Nutzfläche des Gebäudes (100 qm),,,804
2017,Harburg,Nutzfläche des Gebäudes (100 qm),,K03353,1808
2017,Lüchow-Dannenbe,Nutzfläche des Gebäudes (100 qm),,K03354,275
2017,Lüneburg,Nutzfläche des Gebäudes (100 qm),,K03355,457
2017,Lüneburg-Hanses,Nutzfläche des Gebäudes (100 qm),,,175
2017,Lüneburg (oh. L,Nutzfläche des Gebäudes (100 qm),,,282
2017,Osterholz,Nutzfläche des Gebäudes (100 qm),,K03356,486
2017,Rotenburg (Wümm,Nutzfläche des Gebäudes (100 qm),,K03357,1184
2017,Heidekreis,Nutzfläche des Gebäudes (100 qm),,K03358,471
2017,Stade,Nutzfläche des Gebäudes (100 qm),,K03359,1350
2017,Stade-Hansestad,Nutzfläche des Gebäudes (100 qm),,,367
2017,Stade (oh.Stade,Nutzfläche des Gebäudes (100 qm),,,983
2017,Uelzen,Nutzfläche des Gebäudes (100 qm),,K03360,362
2017,Verden,Nutzfläche des Gebäudes (100 qm),,K03361,730
2017,Weser-Ems,Nutzfläche des Gebäudes (100 qm),,,18270
2017,Delmenhorst-Sta,Nutzfläche des Gebäudes (100 qm),,K03401,232
2017,Emden-Stadt,Nutzfläche des Gebäudes (100 qm),,K03402,155
2017,Oldenburg(Oldb),Nutzfläche des Gebäudes (100 qm),,K03403,481
2017,Osnabrück-Stadt,Nutzfläche des Gebäudes (100 qm),,K03404,385
2017,Wilhelmshaven-S,Nutzfläche des Gebäudes (100 qm),,K03405,70
2017,Ammerland,Nutzfläche des Gebäudes (100 qm),,K03451,1175
2017,Aurich,Nutzfläche des Gebäudes (100 qm),,K03452,1109
2017,Cloppenburg,Nutzfläche des Gebäudes (100 qm),,K03453,1582
2017,Emsland,Nutzfläche des Gebäudes (100 qm),,K03454,4899
2017,Lingen (Ems)-St,Nutzfläche des Gebäudes (100 qm),,,451
2017,Emsland (oh. Li,Nutzfläche des Gebäudes (100 qm),,,4449
2017,Friesland,Nutzfläche des Gebäudes (100 qm),,K03455,621
2017,Grafschaft Bent,Nutzfläche des Gebäudes (100 qm),,K03456,1373
2017,Nordhorn-Stadt,Nutzfläche des Gebäudes (100 qm),,,342
2017,Grfsch.Bentheim,Nutzfläche des Gebäudes (100 qm),,,1030
2017,Leer,Nutzfläche des Gebäudes (100 qm),,K03457,647
2017,Oldenburg,Nutzfläche des Gebäudes (100 qm),,K03458,468
2017,Osnabrück,Nutzfläche des Gebäudes (100 qm),,K03459,2233
2017,Melle-Stadt,Nutzfläche des Gebäudes (100 qm),,,246
2017,Osnabrück (oh.M,Nutzfläche des Gebäudes (100 qm),,,1987
2017,Vechta,Nutzfläche des Gebäudes (100 qm),,K03460,2214
2017,Wesermarsch,Nutzfläche des Gebäudes (100 qm),,K03461,253
2017,Wittmund,Nutzfläche des Gebäudes (100 qm),,K03462,373
2017,Niedersachsen,Baumaßnahmenund neue Gebäude,,,23575
2017,Braunschweig,Baumaßnahmenund neue Gebäude,,,3495
2017,Braunschweig-St,Baumaßnahmenund neue Gebäude,,,396
2017,Salzgitter-Stad,Baumaßnahmenund neue Gebäude,,,123
2017,Wolfsburg-Stadt,Baumaßnahmenund neue Gebäude,,,309
2017,Gifhorn,Baumaßnahmenund neue Gebäude,,,788
2017,Goslar,Baumaßnahmenund neue Gebäude,,,105
2017,Goslar-Stadt,Baumaßnahmenund neue Gebäude,,,27
2017,Goslar (oh. Gos,Baumaßnahmenund neue Gebäude,,,78
2017,Helmstedt,Baumaßnahmenund neue Gebäude,,,245
2017,Northeim,Baumaßnahmenund neue Gebäude,,,266
2017,Peine,Baumaßnahmenund neue Gebäude,,,487
2017,Peine-Stadt,Baumaßnahmenund neue Gebäude,,,105
2017,Peine (oh. Pein,Baumaßnahmenund neue Gebäude,,,382
2017,Wolfenbüttel,Baumaßnahmenund neue Gebäude,,,170
2017,Wolfenbüttel-St,Baumaßnahmenund neue Gebäude,,,56
2017,Wolfenbüttel (o,Baumaßnahmenund neue Gebäude,,,114
2017,Göttingen,Baumaßnahmenund neue Gebäude,,,606
2017,Göttingen-Stadt,Baumaßnahmenund neue Gebäude,,,173
2017,Göttingen (oh.,Baumaßnahmenund neue Gebäude,,,433
2017,Hannover,Baumaßnahmenund neue Gebäude,,,3606
2017,Hannover-Region,Baumaßnahmenund neue Gebäude,,,1711
2017,Hannover-Landes,Baumaßnahmenund neue Gebäude,,,424
2017,Garbsen-Stadt,Baumaßnahmenund neue Gebäude,,,63
2017,Langenhagen-Sta,Baumaßnahmenund neue Gebäude,,,91
2017,Hann.Reg.(oh.Ha,Baumaßnahmenund neue Gebäude,,,1133
2017,Diepholz,Baumaßnahmenund neue Gebäude,,,556
2017,Hameln-Pyrmont,Baumaßnahmenund neue Gebäude,,,153
2017,Hameln-Stadt,Baumaßnahmenund neue Gebäude,,,64
2017,Hameln-Pyrmont,Baumaßnahmenund neue Gebäude,,,89
2017,Hildesheim,Baumaßnahmenund neue Gebäude,,,489
2017,Hildesheim-Stad,Baumaßnahmenund neue Gebäude,,,144
2017,Hildesheim(oh.H,Baumaßnahmenund neue Gebäude,,,345
2017,Holzminden,Baumaßnahmenund neue Gebäude,,,78
2017,Nienburg (Weser,Baumaßnahmenund neue Gebäude,,,286
2017,Schaumburg,Baumaßnahmenund neue Gebäude,,,333
2017,Lüneburg,Baumaßnahmenund neue Gebäude,,,5872
2017,Celle,Baumaßnahmenund neue Gebäude,,,488
2017,Celle-Stadt,Baumaßnahmenund neue Gebäude,,,80
2017,Celle (oh.Celle,Baumaßnahmenund neue Gebäude,,,408
2017,Cuxhaven,Baumaßnahmenund neue Gebäude,,,740
2017,Cuxhaven-Stadt,Baumaßnahmenund neue Gebäude,,,106
2017,Cuxhaven (oh. C,Baumaßnahmenund neue Gebäude,,,634
2017,Harburg,Baumaßnahmenund neue Gebäude,,,860
2017,Lüchow-Dannenbe,Baumaßnahmenund neue Gebäude,,,214
2017,Lüneburg,Baumaßnahmenund neue Gebäude,,,405
2017,Lüneburg-Hanses,Baumaßnahmenund neue Gebäude,,,59
2017,Lüneburg (oh. L,Baumaßnahmenund neue Gebäude,,,346
2017,Osterholz,Baumaßnahmenund neue Gebäude,,,458
2017,Rotenburg (Wümm,Baumaßnahmenund neue Gebäude,,,704
2017,Heidekreis,Baumaßnahmenund neue Gebäude,,,470
2017,Stade,Baumaßnahmenund neue Gebäude,,,852
2017,Stade-Hansestad,Baumaßnahmenund neue Gebäude,,,93
2017,Stade (oh.Stade,Baumaßnahmenund neue Gebäude,,,759
2017,Uelzen,Baumaßnahmenund neue Gebäude,,,200
2017,Verden,Baumaßnahmenund neue Gebäude,,,481
2017,Weser-Ems,Baumaßnahmenund neue Gebäude,,,10602
2017,Delmenhorst-Sta,Baumaßnahmenund neue Gebäude,,,114
2017,Emden-Stadt,Baumaßnahmenund neue Gebäude,,,75
2017,Oldenburg(Oldb),Baumaßnahmenund neue Gebäude,,,529
2017,Osnabrück-Stadt,Baumaßnahmenund neue Gebäude,,,235
2017,Wilhelmshaven-S,Baumaßnahmenund neue Gebäude,,,96
2017,Ammerland,Baumaßnahmenund neue Gebäude,,,764
2017,Aurich,Baumaßnahmenund neue Gebäude,,,700
2017,Cloppenburg,Baumaßnahmenund neue Gebäude,,,913
2017,Emsland,Baumaßnahmenund neue Gebäude,,,1980
2017,Lingen (Ems)-St,Baumaßnahmenund neue Gebäude,,,234
2017,Emsland (oh. Li,Baumaßnahmenund neue Gebäude,,,1746
2017,Friesland,Baumaßnahmenund neue Gebäude,,,468
2017,Grafschaft Bent,Baumaßnahmenund neue Gebäude,,,632
2017,Nordhorn-Stadt,Baumaßnahmenund neue Gebäude,,,206
2017,Grfsch.Bentheim,Baumaßnahmenund neue Gebäude,,,426
2017,Leer,Baumaßnahmenund neue Gebäude,,,696
2017,Oldenburg,Baumaßnahmenund neue Gebäude,,,494
2017,Osnabrück,Baumaßnahmenund neue Gebäude,,,1245
2017,Melle-Stadt,Baumaßnahmenund neue Gebäude,,,199
2017,Osnabrück (oh.M,Baumaßnahmenund neue Gebäude,,,1046
2017,Vechta,Baumaßnahmenund neue Gebäude,,,972
2017,Wesermarsch,Baumaßnahmenund neue Gebäude,,,352
2017,Wittmund,Baumaßnahmenund neue Gebäude,,,337
2017,Niedersachsen,,,,31350
2017,Braunschweig,,,,4840
2017,Braunschweig-St,,,,570
2017,Salzgitter-Stad,,,,118
2017,Wolfsburg-Stadt,,,,847
2017,Gifhorn,,,,831
2017,Goslar,,,,92
2017,Goslar-Stadt,,,,18
2017,Goslar (oh. Gos,,,,74
2017,Helmstedt,,,,246
2017,Northeim,,,,346
2017,Peine,,,,677
2017,Peine-Stadt,,,,271
2017,Peine (oh. Pein,,,,406
2017,Wolfenbüttel,,,,275
2017,Wolfenbüttel-St,,,,119
2017,Wolfenbüttel (o,,,,156
2017,Göttingen,,,,838
2017,Göttingen-Stadt,,,,353
2017,Göttingen (oh.,,,,485
2017,Hannover,,,,5886
2017,Hannover-Region,,,,3593
2017,Hannover-Landes,,,,1394
2017,Garbsen-Stadt,,,,299
2017,Langenhagen-Sta,,,,234
2017,Hann.Reg.(oh.Ha,,,,1666
2017,Diepholz,,,,750
2017,Hameln-Pyrmont,,,,141
2017,Hameln-Stadt,,,,66
2017,Hameln-Pyrmont,,,,75
2017,Hildesheim,,,,594
2017,Hildesheim-Stad,,,,217
2017,Hildesheim(oh.H,,,,377
2017,Holzminden,,,,58
2017,Nienburg (Weser,,,,345
2017,Schaumburg,,,,405
2017,Lüneburg,,,,7589
2017,Celle,,,,654
2017,Celle-Stadt,,,,145
2017,Celle (oh.Celle,,,,509
2017,Cuxhaven,,,,760
2017,Cuxhaven-Stadt,,,,181
2017,Cuxhaven (oh. C,,,,579
2017,Harburg,,,,1475
2017,Lüchow-Dannenbe,,,,158
2017,Lüneburg,,,,613
2017,Lüneburg-Hanses,,,,158
2017,Lüneburg (oh. L,,,,455
2017,Osterholz,,,,595
2017,Rotenburg (Wümm,,,,761
2017,Heidekreis,,,,545
2017,Stade,,,,1224
2017,Stade-Hansestad,,,,178
2017,Stade (oh.Stade,,,,1046
2017,Uelzen,,,,217
2017,Verden,,,,587
2017,Weser-Ems,,,,13035
2017,Delmenhorst-Sta,,,,164
2017,Emden-Stadt,,,,60
2017,Oldenburg(Oldb),,,,1197
2017,Osnabrück-Stadt,,,,430
2017,Wilhelmshaven-S,,,,82
2017,Ammerland,,,,1017
2017,Aurich,,,,838
2017,Cloppenburg,,,,946
2017,Emsland,,,,2265
2017,Lingen (Ems)-St,,,,597
2017,Emsland (oh. Li,,,,1668
2017,Friesland,,,,606
2017,Grafschaft Bent,,,,744
2017,Nordhorn-Stadt,,,,297
2017,Grfsch.Bentheim,,,,447
2017,Leer,,,,829
2017,Oldenburg,,,,543
2017,Osnabrück,,,,1505
2017,Melle-Stadt,,,,229
2017,Osnabrück (oh.M,,,,1276
2017,Vechta,,,,1124
2017,Wesermarsch,,,,343
2017,Wittmund,,,,342
2017,Niedersachsen,,1_Zimmer,,1107
2017,Braunschweig,,1_Zimmer,,63
2017,Braunschweig-St,,1_Zimmer,,6
2017,Salzgitter-Stad,,1_Zimmer,,0
2017,Wolfsburg-Stadt,,1_Zimmer,,18
2017,Gifhorn,,1_Zimmer,,17
2017,Goslar,,1_Zimmer,,5
2017,Goslar-Stadt,,1_Zimmer,,0
2017,Goslar (oh. Gos,,1_Zimmer,,5
2017,Helmstedt,,1_Zimmer,,1
2017,Northeim,,1_Zimmer,,9
2017,Peine,,1_Zimmer,,5
2017,Peine-Stadt,,1_Zimmer,,4
2017,Peine (oh. Pein,,1_Zimmer,,1
2017,Wolfenbüttel,,1_Zimmer,,0
2017,Wolfenbüttel-St,,1_Zimmer,,1
2017,Wolfenbüttel (o,,1_Zimmer,,1
2017,Göttingen,,1_Zimmer,,38
2017,Göttingen-Stadt,,1_Zimmer,,35
2017,Göttingen (oh.,,1_Zimmer,,3
2017,Hannover,,1_Zimmer,,523
2017,Hannover-Region,,1_Zimmer,,509
2017,Hannover-Landes,,1_Zimmer,,314
2017,Garbsen-Stadt,,1_Zimmer,,169
2017,Langenhagen-Sta,,1_Zimmer,,1
2017,Hann.Reg.(oh.Ha,,1_Zimmer,,27
2017,Diepholz,,1_Zimmer,,3
2017,Hameln-Pyrmont,,1_Zimmer,,0
