Year,Gebietseinheit,sex,GeoCode,Value
1978,Niedersachsen,,,249522
1978,Niedersachsen,maennlich,,144601
1978,Niedersachsen,weiblich,,104921
1979,Niedersachsen,,,261331
1979,Niedersachsen,maennlich,,151724
1979,Niedersachsen,weiblich,,109607
1980,Niedersachsen,,,284678
1980,Niedersachsen,maennlich,,166862
1980,Niedersachsen,weiblich,,117816
1981,Niedersachsen,,,299147
1981,Niedersachsen,maennlich,,174979
1981,Niedersachsen,weiblich,,124168
1982,Niedersachsen,,,300584
1982,Niedersachsen,maennlich,,174318
1982,Niedersachsen,weiblich,,126266
1983,Niedersachsen,,,290651
1983,Niedersachsen,maennlich,,167024
1983,Niedersachsen,weiblich,,123627
1984,Niedersachsen,,,273716
1984,Niedersachsen,maennlich,,156671
1984,Niedersachsen,weiblich,,117045
1985,Niedersachsen,,,274916
1985,Niedersachsen,maennlich,,157864
1985,Niedersachsen,weiblich,,117052
1986,Niedersachsen,,,286694
1986,Niedersachsen,maennlich,,164538
1986,Niedersachsen,weiblich,,122156
1987,Niedersachsen,,,289469
1987,Niedersachsen,maennlich,,164407
1987,Niedersachsen,weiblich,,125062
1990,Niedersachsen,,,338826
1990,Niedersachsen,maennlich,,189962
1990,Niedersachsen,weiblich,,148864
1991,Niedersachsen,,,368361
1991,Niedersachsen,maennlich,,207744
1991,Niedersachsen,weiblich,,160617
1992,Niedersachsen,,,425801
1992,Niedersachsen,maennlich,,242210
1992,Niedersachsen,weiblich,,183591
1993,Niedersachsen,,,445832
1993,Niedersachsen,maennlich,,250899
1993,Niedersachsen,weiblich,,194933
1994,Niedersachsen,,,451938
1994,Niedersachsen,maennlich,,250898
1994,Niedersachsen,weiblich,,201040
1995,Niedersachsen,,,468755
1995,Niedersachsen,maennlich,,258873
1995,Niedersachsen,weiblich,,209882
1996,Niedersachsen,,,480029
1996,Niedersachsen,maennlich,,263382
1996,Niedersachsen,weiblich,,216647
1997,Niedersachsen,,,480550
1997,Niedersachsen,maennlich,,261514
1997,Niedersachsen,weiblich,,219036
1998,Niedersachsen,,,474124
1998,Niedersachsen,maennlich,,256067
1998,Niedersachsen,weiblich,,218057
1999,Niedersachsen,,,477446
1999,Niedersachsen,maennlich,,255771
1999,Niedersachsen,weiblich,,221675
2000,Niedersachsen,,,473515
2000,Niedersachsen,maennlich,,251652
2000,Niedersachsen,weiblich,,221863
2001,Niedersachsen,,,476095
2001,Niedersachsen,maennlich,,251837
2001,Niedersachsen,weiblich,,224258
2002,Niedersachsen,,,479312
2002,Niedersachsen,maennlich,,251975
2002,Niedersachsen,weiblich,,227337
2003,Niedersachsen,,,478053
2003,Niedersachsen,maennlich,,249523
2003,Niedersachsen,weiblich,,228530
2004,Niedersachsen,,,462383
2004,Niedersachsen,maennlich,,238972
2004,Niedersachsen,weiblich,,223411
2005,Niedersachsen,,,461486
2005,Niedersachsen,maennlich,,237244
2005,Niedersachsen,weiblich,,224242
2006,Niedersachsen,,,458757
2006,Niedersachsen,maennlich,,235826
2006,Niedersachsen,weiblich,,222931
2007,Niedersachsen,,,457099
2007,Niedersachsen,maennlich,,234098
2007,Niedersachsen,weiblich,,223001
2008,Niedersachsen,,,453141
2008,Niedersachsen,maennlich,,231830
2008,Niedersachsen,weiblich,,221311
2009,Niedersachsen,,,453636
2009,Niedersachsen,maennlich,,231895
2009,Niedersachsen,weiblich,,221741
2010,Niedersachsen,,,458153
2010,Niedersachsen,maennlich,,235118
2010,Niedersachsen,weiblich,,223035
2011,Niedersachsen,,,470683
2011,Niedersachsen,maennlich,,242335
2011,Niedersachsen,weiblich,,228348
2012,Niedersachsen,,,492072
2012,Niedersachsen,maennlich,,255855
2012,Niedersachsen,weiblich,,236217
2013,Niedersachsen,,,525689
2013,Niedersachsen,maennlich,,275914
2013,Niedersachsen,weiblich,,249775
2014,Niedersachsen,,,570988
2014,Niedersachsen,maennlich,,302438
2014,Niedersachsen,weiblich,,268550
2015,Niedersachsen,,,663817
2015,Niedersachsen,maennlich,,361111
2015,Niedersachsen,weiblich,,302706
2016,Niedersachsen,,,745185
2016,Niedersachsen,maennlich,,410010
2016,Niedersachsen,weiblich,,335175
2017,Niedersachsen,,,776860
2017,Niedersachsen,maennlich,,425770
2017,Niedersachsen,weiblich,,351090
2018,Niedersachsen,,,813080
2018,Niedersachsen,maennlich,,444740
2018,Niedersachsen,weiblich,,368340
1978,Statistische Region Braunschweig,,,67448
1978,Statistische Region Braunschweig,maennlich,,40386
1978,Statistische Region Braunschweig,weiblich,,27062
1979,Statistische Region Braunschweig,,,70451
1979,Statistische Region Braunschweig,maennlich,,42279
1979,Statistische Region Braunschweig,weiblich,,28172
1980,Statistische Region Braunschweig,,,76409
1980,Statistische Region Braunschweig,maennlich,,46200
1980,Statistische Region Braunschweig,weiblich,,30209
1981,Statistische Region Braunschweig,,,80118
1981,Statistische Region Braunschweig,maennlich,,48247
1981,Statistische Region Braunschweig,weiblich,,31871
1982,Statistische Region Braunschweig,,,79929
1982,Statistische Region Braunschweig,maennlich,,47603
1982,Statistische Region Braunschweig,weiblich,,32326
1983,Statistische Region Braunschweig,,,76665
1983,Statistische Region Braunschweig,maennlich,,45321
1983,Statistische Region Braunschweig,weiblich,,31344
1984,Statistische Region Braunschweig,,,70717
