Year,Gebietseinheit,Geschlecht,Value
2018,Niedersachsen,Frauen,444740
2018,Niedersachsen,Männer,368340
2018,Niedersachsen,Insgesamt,813080
2018,Braunschweig,Frauen,85145
2018,Braunschweig,Männer,73030
2018,Braunschweig,Insgesamt,158180
2018,Braunschweig-Stadt,Frauen,15925
2018,Braunschweig-Stadt,Männer,13805
2018,Braunschweig-Stadt,Insgesamt,29730
2018,Salzgitter-Stadt,Frauen,10805
2018,Salzgitter-Stadt,Männer,9045
2018,Salzgitter-Stadt,Insgesamt,19850
2018,Wolfsburg-Stadt,Frauen,10555
2018,Wolfsburg-Stadt,Männer,8770
2018,Wolfsburg-Stadt,Insgesamt,19325
