Year,Gebietseinheit,Geschlecht,value
2018,Niedersachsen,,813080
2018,Niedersachsen,männlich,444740
2018,Niedersachsen,weiblich,368340
2018,Braunschweig,,158180
2018,Braunschweig,männlich,85145
2018,Braunschweig,weiblich,73030
2018,Braunschweig-Stadt,,29730
2018,Braunschweig-Stadt,männlich,15925
2018,Braunschweig-Stadt,weiblich,13805
2018,Salzgitter-Stadt,,19850
2018,Salzgitter-Stadt,männlich,10805
2018,Salzgitter-Stadt,weiblich,9045
2018,Wolfsburg-Stadt,,19325
2018,Wolfsburg-Stadt,männlich,10555
2018,Wolfsburg-Stadt,weiblich,8770
2018,Gifhorn,,11810
2018,Gifhorn,männlich,6355
2018,Gifhorn,weiblich,5455
2018,Goslar,,13455
2018,Goslar,männlich,7615
2018,Goslar,weiblich,5835
2018,Helmstedt,,6485
2018,Helmstedt,männlich,3655
2018,Helmstedt,weiblich,2830
2018,Northeim,,8805
2018,Northeim,männlich,4635
2018,Northeim,weiblich,4175
2018,Peine,,11035
2018,Peine,männlich,5935
2018,Peine,weiblich,5100
2018,Wolfenbüttel,,7515
2018,Wolfenbüttel,männlich,4095
2018,Wolfenbüttel,weiblich,3420
2018,Göttingen,,30170
2018,Göttingen,männlich,15570
2018,Göttingen,weiblich,14600
2018,Göttingen-Stadt,,17265
2018,Göttingen-Stadt,männlich,8830
2018,Göttingen-Stadt,weiblich,8435
2018,Hannover,,268505
2018,Hannover,männlich,143420
2018,Hannover,weiblich,125085
2018,Hannover-Region,,181570
2018,Hannover-Region,männlich,96690
2018,Hannover-Region,weiblich,84880
2018,Hannover-Landeshauptstadt,,111255
2018,Hannover-Landeshauptstadt,männlich,59325
2018,Hannover-Landeshauptstadt,weiblich,51925
2018,Diepholz,,17565
2018,Diepholz,männlich,9285
2018,Diepholz,weiblich,8285
2018,Hameln-Pyrmont,,16535
2018,Hameln-Pyrmont,männlich,8700
2018,Hameln-Pyrmont,weiblich,7830
2018,Hildesheim,,24090
2018,Hildesheim,männlich,13035
2018,Hildesheim,weiblich,11055
2018,Hildesheim-Stadt,,14425
2018,Hildesheim-Stadt,männlich,7555
2018,Hildesheim-Stadt,weiblich,6870
2018,Holzminden,,4330
2018,Holzminden,männlich,2340
2018,Holzminden,weiblich,1995
2018,Nienburg (Weser),,10430
2018,Nienburg (Weser),männlich,5825
2018,Nienburg (Weser),weiblich,4605
2018,Schaumburg,,13985
2018,Schaumburg,männlich,7545
2018,Schaumburg,weiblich,6440
2018,Lüneburg,,126195
2018,Lüneburg,männlich,69920
2018,Lüneburg,weiblich,56275
2018,Celle,,14130
2018,Celle,männlich,7620
2018,Celle,weiblich,6515
2018,Cuxhaven,,13335
2018,Cuxhaven,männlich,7235
2018,Cuxhaven,weiblich,6100
2018,Harburg,,18930
2018,Harburg,männlich,10945
2018,Harburg,weiblich,7990
2018,Lüchow-Dannenberg,,2665
2018,Lüchow-Dannenberg,männlich,1435
2018,Lüchow-Dannenberg,weiblich,1230
2018,Lüneburg,,126195
2018,Lüneburg,männlich,69920
2018,Lüneburg,weiblich,56275
2018,Osterholz,,6560
2018,Osterholz,männlich,3395
2018,Osterholz,weiblich,3165
2018,Rotenburg (Wümme),,11145
2018,Rotenburg (Wümme),männlich,6270
2018,Rotenburg (Wümme),weiblich,4875
2018,Heidekreis,,11545
2018,Heidekreis,männlich,6385
2018,Heidekreis,weiblich,5160
2018,Stade,,18555
2018,Stade,männlich,10605
2018,Stade,weiblich,7950
2018,Uelzen,,5605
2018,Uelzen,männlich,3000
2018,Uelzen,weiblich,2605
2018,Verden,,10975
2018,Verden,männlich,6030
2018,Verden,weiblich,4945
2018,Weser-Ems,,260205
2018,Weser-Ems,männlich,146255
2018,Weser-Ems,weiblich,113950
2018,Delmenhorst-Stadt,,12970
2018,Delmenhorst-Stadt,männlich,6905
2018,Delmenhorst-Stadt,weiblich,6065
2018,Emden-Stadt,,5530
2018,Emden-Stadt,männlich,3295
2018,Emden-Stadt,weiblich,2230
2018,Oldenburg(Oldb)-Stadt,,17365
2018,Oldenburg(Oldb)-Stadt,männlich,9190
2018,Oldenburg(Oldb)-Stadt,weiblich,8180
2018,Osnabrück-Stadt,,24470
2018,Osnabrück-Stadt,männlich,13315
2018,Osnabrück-Stadt,weiblich,11160
2018,Wilhelmshaven-Stadt,,8410
2018,Wilhelmshaven-Stadt,männlich,4795
2018,Wilhelmshaven-Stadt,weiblich,3615
2018,Ammerland,,8075
2018,Ammerland,männlich,4420
2018,Ammerland,weiblich,3660
2018,Aurich,,11515
2018,Aurich,männlich,6520
2018,Aurich,weiblich,4995
2018,Cloppenburg,,18915
2018,Cloppenburg,männlich,11045
2018,Cloppenburg,weiblich,7875
2018,Emsland,,38825
2018,Emsland,männlich,23650
2018,Emsland,weiblich,15180
2018,Friesland,,4830
2018,Friesland,männlich,2580
2018,Friesland,weiblich,2250
2018,Grafschaft Bentheim,,21550
2018,Grafschaft Bentheim,männlich,11820
2018,Grafschaft Bentheim,weiblich,9725
2018,Leer,,13610
2018,Leer,männlich,7785
2018,Leer,weiblich,5820
2018,Oldenburg,,11595
2018,Oldenburg,männlich,6485
2018,Oldenburg,weiblich,5115
2018,Osnabrück,,32625
2018,Osnabrück,männlich,17925
2018,Osnabrück,weiblich,14700
2018,Vechta,,19790
2018,Vechta,männlich,10915
2018,Vechta,weiblich,8875
2018,Wesermarsch,,7455
2018,Wesermarsch,männlich,4195
2018,Wesermarsch,weiblich,3255
2018,Wittmund,,2675
2018,Wittmund,männlich,1420
2018,Wittmund,weiblich,1250
