Year,Gebietseinheit,Geschlecht,GeoCode,Value
2018,Niedersachsen,,K030,813080
2018,Niedersachsen,männlich,K030,444740
2018,Niedersachsen,weiblich,K030,368340
2018,Braunschweig,,K031,158180
2018,Braunschweig,männlich,K031,85145
2018,Braunschweig,weiblich,K031,73030
2018,Braunschweig-Stadt,,K03101,29730
2018,Braunschweig-Stadt,männlich,K03101,15925
2018,Braunschweig-Stadt,weiblich,K03101,13805
2018,Salzgitter-Stadt,,K03102,19850
2018,Salzgitter-Stadt,männlich,03102,10805
2018,Salzgitter-Stadt,weiblich,03102,9045
2018,Wolfsburg-Stadt,,03103,19325
2018,Wolfsburg-Stadt,männlich,03103,10555
2018,Wolfsburg-Stadt,weiblich,03103,8770
2018,Gifhorn,,03151,11810
2018,Gifhorn,männlich,03151,6355
2018,Gifhorn,weiblich,03151,5455
2018,Goslar,,03153,13455
2018,Goslar,männlich,03153,7615
2018,Goslar,weiblich,03153,5835
2018,Helmstedt,,03154,6485
2018,Helmstedt,männlich,03154,3655
2018,Helmstedt,weiblich,03154,2830
2018,Northeim,,03155,8805
2018,Northeim,männlich,03155,4635
2018,Northeim,weiblich,03155,4175
2018,Peine,,03157,11035
2018,Peine,männlich,03157,5935
2018,Peine,weiblich,03157,5100
2018,Wolfenbüttel,,03158,7515
2018,Wolfenbüttel,männlich,03158,4095
2018,Wolfenbüttel,weiblich,03158,3420
2018,Göttingen,,03159,30170
2018,Göttingen,männlich,03159,15570
2018,Göttingen,weiblich,03159,14600
2018,Göttingen-Stadt,,03159016,17265
2018,Göttingen-Stadt,männlich,03159016,8830
2018,Göttingen-Stadt,weiblich,03159016,8435
2018,Hannover,,032,268505
2018,Hannover,männlich,032,143420
2018,Hannover,weiblich,032,125085
2018,Hannover-Region,,03241,181570
2018,Hannover-Region,männlich,03241,96690
2018,Hannover-Region,weiblich,03241,84880
2018,Hannover-Landeshauptstadt,,03241001,111255
2018,Hannover-Landeshauptstadt,männlich,03241001,59325
2018,Hannover-Landeshauptstadt,weiblich,03241001,51925
2018,Diepholz,,03251,17565
2018,Diepholz,männlich,03251,9285
2018,Diepholz,weiblich,03251,8285
2018,Hameln-Pyrmont,,03252,16535
2018,Hameln-Pyrmont,männlich,03252,8700
2018,Hameln-Pyrmont,weiblich,03252,7830
2018,Hildesheim,,03254,24090
2018,Hildesheim,männlich,03254,13035
2018,Hildesheim,weiblich,03254,11055
2018,Hildesheim-Stadt,,03254021,14425
2018,Hildesheim-Stadt,männlich,03254021,7555
2018,Hildesheim-Stadt,weiblich,03254021,6870
2018,Holzminden,,03255,4330
2018,Holzminden,männlich,03255,2340
2018,Holzminden,weiblich,03255,1995
2018,Nienburg (Weser),,03256,10430
2018,Nienburg (Weser),männlich,03256,5825
2018,Nienburg (Weser),weiblich,03256,4605
2018,Schaumburg,,03257,13985
2018,Schaumburg,männlich,03257,7545
2018,Schaumburg,weiblich,03257,6440
2018,Lüneburg,,033,126195
2018,Lüneburg,männlich,033,69920
2018,Lüneburg,weiblich,033,56275
2018,Celle,,03351,14130
2018,Celle,männlich,03351,7620
2018,Celle,weiblich,03351,6515
2018,Cuxhaven,,03352,13335
2018,Cuxhaven,männlich,03352,7235
2018,Cuxhaven,weiblich,03352,6100
2018,Harburg,,03353,18930
2018,Harburg,männlich,03353,10945
2018,Harburg,weiblich,03353,7990
2018,Lüchow-Dannenberg,,03354,2665
2018,Lüchow-Dannenberg,männlich,03354,1435
2018,Lüchow-Dannenberg,weiblich,03354,1230
2018,Lüneburg,,033,126195
2018,Lüneburg,männlich,033,69920
2018,Lüneburg,weiblich,033,56275
2018,Osterholz,,03356,6560
2018,Osterholz,männlich,03356,3395
2018,Osterholz,weiblich,03356,3165
2018,Rotenburg (Wümme),,03357,11145
2018,Rotenburg (Wümme),männlich,03357,6270
2018,Rotenburg (Wümme),weiblich,03357,4875
2018,Heidekreis,,03358,11545
2018,Heidekreis,männlich,03358,6385
2018,Heidekreis,weiblich,03358,5160
2018,Stade,,03359,18555
2018,Stade,männlich,03359,10605
2018,Stade,weiblich,03359,7950
2018,Uelzen,,03360,5605
2018,Uelzen,männlich,03360,3000
2018,Uelzen,weiblich,03360,2605
2018,Verden,,03361,10975
2018,Verden,männlich,03361,6030
2018,Verden,weiblich,03361,4945
2018,Weser-Ems,,034,260205
2018,Weser-Ems,männlich,034,146255
2018,Weser-Ems,weiblich,034,113950
2018,Delmenhorst-Stadt,,03401,12970
2018,Delmenhorst-Stadt,männlich,03401,6905
2018,Delmenhorst-Stadt,weiblich,03401,6065
2018,Emden-Stadt,,03402,5530
2018,Emden-Stadt,männlich,03402,3295
2018,Emden-Stadt,weiblich,03402,2230
2018,Oldenburg(Oldb)-Stadt,,03403,17365
2018,Oldenburg(Oldb)-Stadt,männlich,03403,9190
2018,Oldenburg(Oldb)-Stadt,weiblich,03403,8180
2018,Osnabrück-Stadt,,03404,24470
2018,Osnabrück-Stadt,männlich,03404,13315
2018,Osnabrück-Stadt,weiblich,03404,11160
2018,Wilhelmshaven-Stadt,,03405,8410
2018,Wilhelmshaven-Stadt,männlich,03405,4795
2018,Wilhelmshaven-Stadt,weiblich,03405,3615
2018,Ammerland,,03451,8075
2018,Ammerland,männlich,03451,4420
2018,Ammerland,weiblich,03451,3660
2018,Aurich,,03452,11515
2018,Aurich,männlich,03452,6520
2018,Aurich,weiblich,03452,4995
2018,Cloppenburg,,03453,18915
2018,Cloppenburg,männlich,03453,11045
2018,Cloppenburg,weiblich,03453,7875
2018,Emsland,,03454,38825
2018,Emsland,männlich,03454,23650
2018,Emsland,weiblich,03454,15180
2018,Friesland,,03455,4830
2018,Friesland,männlich,03455,2580
2018,Friesland,weiblich,03455,2250
2018,Grafschaft Bentheim,,03456,21550
2018,Grafschaft Bentheim,männlich,03456,11820
2018,Grafschaft Bentheim,weiblich,03456,9725
2018,Leer,,03457,13610
2018,Leer,männlich,03457,7785
2018,Leer,weiblich,03457,5820
2018,Oldenburg,,03458,11595
2018,Oldenburg,männlich,03458,6485
2018,Oldenburg,weiblich,03458,5115
2018,Osnabrück,,03459,32625
2018,Osnabrück,männlich,03459,17925
2018,Osnabrück,weiblich,03459,14700
2018,Vechta,,03460,19790
2018,Vechta,männlich,03460,10915
2018,Vechta,weiblich,03460,8875
2018,Wesermarsch,,03461,7455
2018,Wesermarsch,männlich,03461,4195
2018,Wesermarsch,weiblich,03461,3255
2018,Wittmund,,03462,2675
2018,Wittmund,männlich,03462,1420
2018,Wittmund,weiblich,03462,1250
