Year,Gebietseinheit,GeoCode,Value
1970,Niedersachsen,K030,3.098554556
1971,Niedersachsen,K030,3.516574594
1972,Niedersachsen,K030,3.503950758
1973,Niedersachsen,K030,4.251107382
1974,Niedersachsen,K030,4.228064295
1975,Niedersachsen,K030,3.841664917
1976,Niedersachsen,K030,3.733285933
1977,Niedersachsen,K030,3.751207268
1978,Niedersachsen,K030,3.869334943
1979,Niedersachsen,K030,4.173002434
1980,Niedersachsen,K030,4.556905441
1981,Niedersachsen,K030,4.795351819
1982,Niedersachsen,K030,4.799226818
1983,Niedersachsen,K030,4.714527584
1984,Niedersachsen,K030,4.448522697
1985,Niedersachsen,K030,4.517955793
1986,Niedersachsen,K030,4.753102538
1987,Niedersachsen,K030,4.50223259
1988,Niedersachsen,K030,4.983905047
1989,Niedersachsen,K030,5.457622688
1990,Niedersachsen,K030,5.625030109
1991,Niedersachsen,K030,5.904629695
1992,Niedersachsen,K030,6.492520558
1993,Niedersachsen,K030,6.715510215
1994,Niedersachsen,K030,6.96996829
1995,Niedersachsen,K030,7.753685314
1996,Niedersachsen,K030,7.969284355
1997,Niedersachsen,K030,8.021612734
1998,Niedersachsen,K030,7.357154664
1999,Niedersachsen,K030,7.501105033
2000,Niedersachsen,K030,7.464987178
2001,Niedersachsen,K030,7.497612283
2002,Niedersachsen,K030,7.55628786
2003,Niedersachsen,K030,7.567687861
2004,Niedersachsen,K030,7.493016532
2005,Niedersachsen,K030,7.433737166
2006,Niedersachsen,K030,7.360687451
2007,Niedersachsen,K030,7.263313084
2008,Niedersachsen,K030,7.168113305
2009,Niedersachsen,K030,7.15609382
2010,Niedersachsen,K030,7.184679213
2011,Niedersachsen,K030,5.521368454
2012,Niedersachsen,K030,5.724639844
2013,Niedersachsen,K030,6.083866265
2014,Niedersachsen,K030,6.584063088
2015,Niedersachsen,K030,7.859643941
2016,Niedersachsen,K030,8.30159519
2017,Niedersachsen,K030,8.760670638
2018,Niedersachsen,K030,9.210058156
1970,Braunschweig,K031,
1971,Braunschweig,K031,2.948133131
1972,Braunschweig,K031,3.573881906
1973,Braunschweig,K031,3.701089075
1974,Braunschweig,K031,4.256047845
1975,Braunschweig,K031,4.529281414
1976,Braunschweig,K031,4.197840749
1977,Braunschweig,K031,3.995522679
1978,Braunschweig,K031,3.941219547
1979,Braunschweig,K031,4.060541608
1980,Braunschweig,K031,4.441489057
1981,Braunschweig,K031,5.057421087
1982,Braunschweig,K031,5.378694179
1983,Braunschweig,K031,5.365039957
1984,Braunschweig,K031,5.331392475
1985,Braunschweig,K031,4.917469187
1986,Braunschweig,K031,4.585062157
1987,Braunschweig,K031,4.684145967
1988,Braunschweig,K031,5.337351971
1989,Braunschweig,K031,5.960345792
1990,Braunschweig,K031,6.33887712
1991,Braunschweig,K031,6.427310273
1992,Braunschweig,K031,6.675491168
1993,Braunschweig,K031,6.89305469
