Year,Gebietseinheit,Nutzfläche,Wohnungen,GeoCode,Value
2017,Niedersachsen,Nutzfläche des Gebäudes (100 qm),,K00,42388
2017,Braunschweig,8803,,K01,8803
2017,Braunschweig-St,1085,,K0101,1085
2017,Salzgitter-Stad,2,,K0102,266
2017,Wolfsburg-Stadt,42388,,K0103,1303
2017,Gifhorn,8803,,K0151,1288
2017,Goslar,1085,,K0153,188
2017,Goslar-Stadt,266,,K0153017,44
2017,Goslar (oh. Gos,1303,,K0153900,144
2017,Helmstedt,1288,,K0154,197
2017,Northeim,188,,K0155,503
2017,Peine,44,,K0157,1302
2017,Peine-Stadt,144,,K0157006,1104
2017,Peine (oh. Pein,197,,K0157900,198
2017,Wolfenbüttel,503,,K0158,87
2017,Wolfenbüttel-St,1302,,K0158037,39
2017,Wolfenbüttel (o,1104,,K0158900,49
2017,Göttingen,198,,K0159,2585
2017,Göttingen-Stadt,87,,K0159016,1526
2017,Göttingen (oh.,39,,K0159900,1058
2017,Hannover,49,,K02,6894
2017,Hannover-Region,2585,,K0241,4046
2017,Hannover-Landes,1526,,K0241001,1018
2017,Garbsen-Stadt,1058,,K0241005,436
2017,Langenhagen-Sta,6894,,K0241010,869
2017,Hann.Reg.(oh.Ha,4046,,K0241900,1723
2017,Diepholz,1018,,K0251,744
2017,Hameln-Pyrmont,436,,K0252,168
2017,Hameln-Stadt,869,,K0252006,133
2017,Hameln-Pyrmont,1723,,K0252900,35
2017,Hildesheim,744,,K0254,942
2017,Hildesheim-Stad,168,,K0254021,508
2017,Hildesheim(oh.H,133,,K0254900,434
2017,Holzminden,35,,K0255,184
2017,Nienburg (Weser,942,,K0256,383
2017,Schaumburg,508,,K0257,426
2017,Lüneburg,434,,K03,8421
2017,Celle,184,,K0351,325
2017,Celle-Stadt,383,,K0351006,146
2017,Celle (oh.Celle,426,,K0351900,178
2017,Cuxhaven,8421,,K0352,974
2017,Cuxhaven-Stadt,325,,K0352011,170
2017,Cuxhaven (oh. C,146,,K0352900,804
2017,Harburg,178,,K0353,1808
2017,Lüchow-Dannenbe,974,,K0354,275
2017,Lüneburg,170,,K0355,457
2017,Lüneburg-Hanses,804,,K0355022,175
2017,Lüneburg (oh. L,1808,,K0355900,282
2017,Osterholz,275,,K0356,486
2017,Rotenburg (Wümm,457,,K0357,1184
2017,Heidekreis,175,,K0358,471
2017,Stade,282,,K0359,1350
2017,Stade-Hansestad,486,,K0359038,367
2017,Stade (oh.Stade,1184,,K0359900,983
2017,Uelzen,471,,K0360,362
2017,Verden,1350,,K0361,730
2017,Weser-Ems,367,,K04,18270
2017,Delmenhorst-Sta,983,,K0401,232
2017,Emden-Stadt,362,,K0402,155
2017,Oldenburg(Oldb),730,,K0403,481
2017,Osnabrück-Stadt,18270,,K0404,385
2017,Wilhelmshaven-S,232,,K0405,70
2017,Ammerland,155,,K0451,1175
2017,Aurich,481,,K0452,1109
2017,Cloppenburg,385,,K0453,1582
2017,Emsland,70,,K0454,4899
2017,Lingen (Ems)-St,1175,,K0454032,451
2017,Emsland (oh. Li,1109,,K0454900,4449
2017,Friesland,1582,,K0455,621
2017,Grafschaft Bent,4899,,K0456,1373
2017,Nordhorn-Stadt,451,,K0456015,342
2017,Grfsch.Bentheim,4449,,K0456900,1030
2017,Leer,621,,K0457,647
2017,Oldenburg,1373,,K0458,468
2017,Osnabrück,342,,K0459,2233
2017,Melle-Stadt,1030,,K0459024,246
2017,Osnabrück (oh.M,647,,K0459900,1987
2017,Vechta,468,,K0460,2214
2017,Wesermarsch,2233,,K0461,253
2017,Wittmund,246,,K0462,373
