Year,Gebietseinheit,Statistik,GeoCode,Value
2017,Niedersachsen,Baumaßnahmen und neue Gebäude,,23575
2017,Braunschweig,Baumaßnahmen und neue Gebäude,,3495
2017,Braunschweig-St,Baumaßnahmen und neue Gebäude,,396
2017,Salzgitter-Stad,Baumaßnahmen und neue Gebäude,,123
2017,Wolfsburg-Stadt,Baumaßnahmen und neue Gebäude,,309
2017,Gifhorn,Baumaßnahmen und neue Gebäude,,788
2017,Goslar,Baumaßnahmen und neue Gebäude,,105
2017,Goslar-Stadt,Baumaßnahmen und neue Gebäude,,27
2017,Goslar (oh. Gos,Baumaßnahmen und neue Gebäude,,78
2017,Helmstedt,Baumaßnahmen und neue Gebäude,,245
2017,Northeim,Baumaßnahmen und neue Gebäude,,266
2017,Peine,Baumaßnahmen und neue Gebäude,,487
2017,Peine-Stadt,Baumaßnahmen und neue Gebäude,,105
2017,Peine (oh. Pein,Baumaßnahmen und neue Gebäude,,382
2017,Wolfenbüttel,Baumaßnahmen und neue Gebäude,,170
2017,Wolfenbüttel-St,Baumaßnahmen und neue Gebäude,,56
2017,Wolfenbüttel (o,Baumaßnahmen und neue Gebäude,,114
2017,Göttingen,Baumaßnahmen und neue Gebäude,,606
2017,Göttingen-Stadt,Baumaßnahmen und neue Gebäude,,173
2017,Göttingen (oh.,Baumaßnahmen und neue Gebäude,,433
2017,Hannover,Baumaßnahmen und neue Gebäude,,3606
2017,Hannover-Region,Baumaßnahmen und neue Gebäude,,1711
2017,Hannover-Landes,Baumaßnahmen und neue Gebäude,,424
2017,Garbsen-Stadt,Baumaßnahmen und neue Gebäude,,63
2017,Langenhagen-Sta,Baumaßnahmen und neue Gebäude,,91
2017,Hann.Reg.(oh.Ha,Baumaßnahmen und neue Gebäude,,1133
2017,Diepholz,Baumaßnahmen und neue Gebäude,,556
2017,Hameln-Pyrmont,Baumaßnahmen und neue Gebäude,,153
2017,Hameln-Stadt,Baumaßnahmen und neue Gebäude,,64
2017,Hameln-Pyrmont,Baumaßnahmen und neue Gebäude,,89
2017,Hildesheim,Baumaßnahmen und neue Gebäude,,489
2017,Hildesheim-Stad,Baumaßnahmen und neue Gebäude,,144
2017,Hildesheim(oh.H,Baumaßnahmen und neue Gebäude,,345
2017,Holzminden,Baumaßnahmen und neue Gebäude,,78
2017,Nienburg (Weser,Baumaßnahmen und neue Gebäude,,286
2017,Schaumburg,Baumaßnahmen und neue Gebäude,,333
2017,Lüneburg,Baumaßnahmen und neue Gebäude,,5872
2017,Celle,Baumaßnahmen und neue Gebäude,,488
2017,Celle-Stadt,Baumaßnahmen und neue Gebäude,,80
2017,Celle (oh.Celle,Baumaßnahmen und neue Gebäude,,408
2017,Cuxhaven,Baumaßnahmen und neue Gebäude,,740
2017,Cuxhaven-Stadt,Baumaßnahmen und neue Gebäude,,106
2017,Cuxhaven (oh. C,Baumaßnahmen und neue Gebäude,,634
2017,Harburg,Baumaßnahmen und neue Gebäude,,860
2017,Lüchow-Dannenbe,Baumaßnahmen und neue Gebäude,,214
2017,Lüneburg,Baumaßnahmen und neue Gebäude,,405
2017,Lüneburg-Hanses,Baumaßnahmen und neue Gebäude,,59
2017,Lüneburg (oh. L,Baumaßnahmen und neue Gebäude,,346
2017,Osterholz,Baumaßnahmen und neue Gebäude,,458
2017,Rotenburg (Wümm,Baumaßnahmen und neue Gebäude,,704
2017,Heidekreis,Baumaßnahmen und neue Gebäude,,470
2017,Stade,Baumaßnahmen und neue Gebäude,,852
2017,Stade-Hansestad,Baumaßnahmen und neue Gebäude,,93
2017,Stade (oh.Stade,Baumaßnahmen und neue Gebäude,,759
2017,Uelzen,Baumaßnahmen und neue Gebäude,,200
2017,Verden,Baumaßnahmen und neue Gebäude,,481
2017,Weser-Ems,Baumaßnahmen und neue Gebäude,,10602
2017,Delmenhorst-Sta,Baumaßnahmen und neue Gebäude,,114
2017,Emden-Stadt,Baumaßnahmen und neue Gebäude,,75
2017,Oldenburg(Oldb),Baumaßnahmen und neue Gebäude,,529
2017,Osnabrück-Stadt,Baumaßnahmen und neue Gebäude,,235
2017,Wilhelmshaven-S,Baumaßnahmen und neue Gebäude,,96
2017,Ammerland,Baumaßnahmen und neue Gebäude,,764
2017,Aurich,Baumaßnahmen und neue Gebäude,,700
2017,Cloppenburg,Baumaßnahmen und neue Gebäude,,913
2017,Emsland,Baumaßnahmen und neue Gebäude,,1980
2017,Lingen (Ems)-St,Baumaßnahmen und neue Gebäude,,234
2017,Emsland (oh. Li,Baumaßnahmen und neue Gebäude,,1746
2017,Friesland,Baumaßnahmen und neue Gebäude,,468
2017,Grafschaft Bent,Baumaßnahmen und neue Gebäude,,632
2017,Nordhorn-Stadt,Baumaßnahmen und neue Gebäude,,206
2017,Grfsch.Bentheim,Baumaßnahmen und neue Gebäude,,426
2017,Leer,Baumaßnahmen und neue Gebäude,,696
2017,Oldenburg,Baumaßnahmen und neue Gebäude,,494
2017,Osnabrück,Baumaßnahmen und neue Gebäude,,1245
2017,Melle-Stadt,Baumaßnahmen und neue Gebäude,,199
2017,Osnabrück (oh.M,Baumaßnahmen und neue Gebäude,,1046
2017,Vechta,Baumaßnahmen und neue Gebäude,,972
2017,Wesermarsch,Baumaßnahmen und neue Gebäude,,352
2017,Wittmund,Baumaßnahmen und neue Gebäude,,337
2017,Niedersachsen,Nutzfläche des Gebäudes (100 qm),,42388
2017,Braunschweig,Nutzfläche des Gebäudes (100 qm),,8803
2017,Braunschweig-St,Nutzfläche des Gebäudes (100 qm),,1085
2017,Salzgitter-Stad,Nutzfläche des Gebäudes (100 qm),,266
2017,Wolfsburg-Stadt,Nutzfläche des Gebäudes (100 qm),,1303
2017,Gifhorn,Nutzfläche des Gebäudes (100 qm),,1288
2017,Goslar,Nutzfläche des Gebäudes (100 qm),,188
2017,Goslar-Stadt,Nutzfläche des Gebäudes (100 qm),,44
2017,Goslar (oh. Gos,Nutzfläche des Gebäudes (100 qm),,144
